time,open,high,low,close
2019-07-02,15924,16004,15924,15968
2019-07-03,16067,16067,15920,15920
2019-07-04,15928,15956,15917,15948
2019-07-05,15927,15960,15802,15822
2019-07-08,15899,15901,15804,15804
2019-07-09,15798,15874,15798,15873
2019-07-10,15826,15899,15826,15893
2019-07-11,15892,15900,15822,15822
2019-07-12,15821,15871,15759,15775
2019-07-15,15775,15779,15670,15693
2019-07-16,15667,15681,15614,15614
2019-07-17,15612,15687,15612,15674
2019-07-18,15667,15733,15663,15733
2019-07-19,15733,15733,15627,15641
2019-07-22,15624,15657,15621,15621
2019-07-23,15617,15646,15577,15577
2019-07-24,15570,15731,15570,15585
2019-07-25,15583,15638,15492,15571
2019-07-26,15574,15614,15561,15589
2019-07-29,15557,15630,15557,15622
2019-07-30,15616,15638,15615,15634
2019-07-31,15633,15644,15512,15512
2019-08-01,15508,15829,15508,15796
2019-08-02,15793,15832,15647,15769
2019-08-05,15741,16146,15741,15939
2019-08-06,16176,16217,15919,16061
2019-08-07,16002,16067,15888,15986
2019-08-08,15950,15957,15852,15906
2019-08-09,15885,16038,15861,16038
2019-08-12,15882,16046,15882,15973
2019-08-13,15972,16077,15830,15989
2019-08-14,15989,15995,15853,15860
2019-08-15,15863,15976,15812,15833
2019-08-16,15839,15840,15751,15780
2019-08-19,15783,15821,15617,15762
2019-08-20,15764,15824,15764,15821
2019-08-21,15819,15831,15763,15780
2019-08-22,15784,15825,15763,15764
2019-08-23,15764,16041,15698,16041
2019-08-26,15851,15951,15802,15802
2019-08-27,15800,15865,15797,15801
2019-08-28,15838,15841,15770,15788
2019-08-29,15788,15853,15696,15734
2019-08-30,15737,15740,15555,15603
2019-09-02,15579,15612,15540,15563
2019-09-03,15606,15607,15535,15601
2019-09-04,15562,15657,15544,15605
2019-09-05,15683,15685,15582,15606
2019-09-06,15607,15638,15515,15638
2019-09-09,15532,15578,15480,15490
2019-09-10,15494,15540,15491,15494
2019-09-11,15503,15533,15448,15469
